city;cases;pop;lat;lon;
Nemti;40;722;48.0057888;19.8989652;
Galgahévíz;146;2640;47.6222577;19.5558378;
Börcs;74;1340;47.6850359;17.5007155;
Rátót;13;236;46.9643585;16.4264058;
Egervár;57;1035;46.9355693;16.8536837;
Oszkó;34;618;47.0464985;16.8745229;
Vitnyéd;77;1400;47.587121;16.9799816;
Ajak;206;3751;48.1778501;22.0522301;
Szakcs;46;838;46.53851;18.1109438;
Magyarbánhegyes;122;2225;46.4552631;20.9642866;
Tát;299;5471;47.7398038;18.6543708;
Szendehely;88;1611;47.8553893;19.1049747;
Boldogkőváralja;55;1007;48.3382138;21.2378103;
Csongrád;908;16635;46.7096643;20.1531646;
Újszász;339;6211;47.2844426;20.0702678;
Bucsu;32;588;47.261772;16.4944301;
Táplánszentkereszt;142;2611;47.198556;16.696725;
Somogyudvarhely;55;1014;46.1773427;17.1909701;
Sorokpolány;45;830;47.137679;16.6757279;
Kispáli;15;277;46.9090438;16.8282565;
Magyarszentmiklós;14;259;46.5376492;16.9359659;
Bárna;54;1000;41.3828939;2.1774322;
Gyügye;16;297;47.9223789;22.5691732;
Nógrádmegyer;90;1671;48.0692288;19.6255231;
Kőszegszerdahely;27;502;47.3406309;16.5157175;
Bakonytamási;33;614;47.4104578;17.7318934;
Novaj;74;1377;47.8558382;20.4785002;
Sorkikápolna;13;242;47.1404069;16.7008753;
Somlószőlős;35;652;47.1748363;17.3555881;
Szombathely;4083;76334;47.2291184;16.6187625;
Baj;154;2882;47.6489476;18.3644373;
Keszü;74;1385;46.0169618;18.1918084;
Dabronc;25;468;47.03193;17.1678036;
Veszkény;51;955;47.5998622;17.0857366;
Sajószöged;122;2292;47.9447446;20.9923296;
Zaránk;24;451;47.6429101;20.1032153;
Kiszsidány;5;94;47.4110791;16.6388556;
Farád;103;1937;47.606276;17.2019351;
Petőháza;57;1072;47.5980787;16.8954418;
Filkeháza;6;113;48.4953611;21.4890018;
Lénárddaróc;14;264;48.1485817;20.3719699;
Karancslapujtő;136;2565;48.1526888;19.7360841;
Dunaszentgyörgy;137;2586;46.530011;18.8118978;
Istenmezeje;75;1419;48.0829743;20.0518117;
Salgótarján;1874;35470;48.0960676;19.8005642;
Tiszavalk;16;303;47.6895637;20.7504616;
Alibánfa;23;437;46.8846461;16.9209856;
Kálmáncsa;32;608;46.068005;17.616915;
Tés;43;817;49.601984;95.63666172955419;
Egyházasfalu;46;875;47.4650681;16.7654427;
Nagymágocs;154;2933;46.5834517;20.4811682;
Pápadereske;15;286;47.292502;17.4002198;
Magyarbóly;49;936;45.8403877;18.4917543;
Hegyháthodász;8;153;46.9340458;16.657595;
Tiszalök;281;5379;48.0171761;21.3749662;
Dunaremete;13;249;47.8766438;17.437091;
Körmend;579;11095;47.0126655;16.6010475;
Répáshuta;23;441;48.0487762;20.5271494;
Csetény;97;1860;47.3171578;17.9962766;
Csipkerek;17;326;47.0737928;16.9413683;
Kaposszekcső;78;1496;46.3296936;18.1299521;
Olasz;33;633;46.0151645;18.411796;
Bakonypéterd;15;289;47.4654288;17.7975324;
Mosonszolnok;93;1792;47.8527584;17.1741402;
Görbeháza;125;2410;47.8188298;21.2379579;
Cered;55;1061;48.1445255;19.9670723;
Penc;81;1563;47.8024259;19.2513708;
Piliscsév;130;2509;47.673439;18.8184572;
