település;fertőzöttek;népesség;;;;;;;;;;;;;;;;;;;;;;;
Csonkahegyhát;12;344;;;;;;;;;;;;;;;;;;;;;;;
Halmajugra;48;1 376;;;;;;;;;;;;;;;;;;;;;;;
Kerkateskánd;6;172;;;;;;;;;;;;;;;;;;;;;;;
Kisdobsza;9;258;;;;;;;;;;;;;;;;;;;;;;;
Bükkzsérc;34;975;;;;;;;;;;;;;;;;;;;;;;;
Kisoroszi;35;1 004;;;;;;;;;;;;;;;;;;;;;;;
Hegymagas;10;287;;;;;;;;;;;;;;;;;;;;;;;
Rádóckölked;10;287;;;;;;;;;;;;;;;;;;;;;;;
Prügy;88;2 526;;;;;;;;;;;;;;;;;;;;;;;
Ipacsfa;7;201;;;;;;;;;;;;;;;;;;;;;;;
Mád;75;2 154;;;;;;;;;;;;;;;;;;;;;;;
Borjád;15;431;;;;;;;;;;;;;;;;;;;;;;;
Tiszabezdéd;69;1 983;;;;;;;;;;;;;;;;;;;;;;;
Nagyvázsony;64;1 840;;;;;;;;;;;;;;;;;;;;;;;
Kapospula;30;863;;;;;;;;;;;;;;;;;;;;;;;
Csátalja;52;1 496;;;;;;;;;;;;;;;;;;;;;;;
Cserháthaláp;13;374;;;;;;;;;;;;;;;;;;;;;;;
Mindszentkálla;9;259;;;;;;;;;;;;;;;;;;;;;;;
Ságvár;66;1 900;;;;;;;;;;;;;;;;;;;;;;;
Becsehely;71;2 044;;;;;;;;;;;;;;;;;;;;;;;
Misefa;10;288;;;;;;;;;;;;;;;;;;;;;;;
Kemence;33;951;;;;;;;;;;;;;;;;;;;;;;;
Pátka;61;1 758;;;;;;;;;;;;;;;;;;;;;;;
Nádasd;46;1 326;;;;;;;;;;;;;;;;;;;;;;;
Lothárd;9;260;;;;;;;;;;;;;;;;;;;;;;;
Megyaszó;95;2 745;;;;;;;;;;;;;;;;;;;;;;;
Fancsal;12;347;;;;;;;;;;;;;;;;;;;;;;;
Dénesfa;14;405;;;;;;;;;;;;;;;;;;;;;;;
Héhalom;36;1 042;;;;;;;;;;;;;;;;;;;;;;;
Palotás;55;1 592;;;;;;;;;;;;;;;;;;;;;;;
Gyöngyöstarján;79;2 287;;;;;;;;;;;;;;;;;;;;;;;
Pincehely;75;2 172;;;;;;;;;;;;;;;;;;;;;;;
Alsótelekes;5;145;;;;;;;;;;;;;;;;;;;;;;;
Földes;138;4 002;;;;;;;;;;;;;;;;;;;;;;;
Őrtilos;17;493;;;;;;;;;;;;;;;;;;;;;;;
Vasszentmihály;12;348;;;;;;;;;;;;;;;;;;;;;;;
Iklad;71;2 061;;;;;;;;;;;;;;;;;;;;;;;
Újrónafő;30;871;;;;;;;;;;;;;;;;;;;;;;;
Gönyű;113;3 281;;;;;;;;;;;;;;;;;;;;;;;
Sukoró;59;1 714;;;;;;;;;;;;;;;;;;;;;;;
Csanádalberti;16;465;;;;;;;;;;;;;;;;;;;;;;;
Lánycsók;87;2 529;;;;;;;;;;;;;;;;;;;;;;;
Zákányszék;99;2 878;;;;;;;;;;;;;;;;;;;;;;;
Kisbárapáti;14;407;;;;;;;;;;;;;;;;;;;;;;;
Szikszó;192;5 582;;;;;;;;;;;;;;;;;;;;;;;
Kaposkeresztúr;12;349;;;;;;;;;;;;;;;;;;;;;;;
Cigánd;110;3 200;;;;;;;;;;;;;;;;;;;;;;;
Álmosd;63;1 834;;;;;;;;;;;;;;;;;;;;;;;
Cserhátsurány;27;786;;;;;;;;;;;;;;;;;;;;;;;
Magyarszombatfa;9;262;;;;;;;;;;;;;;;;;;;;;;;
Viszák;9;262;;;;;;;;;;;;;;;;;;;;;;;
Tarnaszentmária;8;233;;;;;;;;;;;;;;;;;;;;;;;
Nógrádszakál;23;670;;;;;;;;;;;;;;;;;;;;;;;
Csobánka;121;3 525;;;;;;;;;;;;;;;;;;;;;;;
Mikepércs;168;4 898;;;;;;;;;;;;;;;;;;;;;;;
Bér;12;350;;;;;;;;;;;;;;;;;;;;;;;
Kehidakustány;37;1 080;;;;;;;;;;;;;;;;;;;;;;;
Tardos;58;1 693;;;;;;;;;;;;;;;;;;;;;;;
Kisdorog;25;730;;;;;;;;;;;;;;;;;;;;;;;
Balsa;26;760;;;;;;;;;;;;;;;;;;;;;;;
Devecser;151;4 415;;;;;;;;;;;;;;;;;;;;;;;
Dédestapolcsány;49;1 433;;;;;;;;;;;;;;;;;;;;;;;
Bisse;8;234;;;;;;;;;;;;;;;;;;;;;;;
Kőszegdoroszló;8;234;;;;;;;;;;;;;;;;;;;;;;;
Babarc;25;732;;;;;;;;;;;;;;;;;;;;;;;
Békás;7;205;;;;;;;;;;;;;;;;;;;;;;;
Cserépváralja;14;410;;;;;;;;;;;;;;;;;;;;;;;
Nemesvámos;101;2 960;;;;;;;;;;;;;;;;;;;;;;;
Liszó;13;381;;;;;;;;;;;;;;;;;;;;;;;
Mezőlak;34;997;;;;;;;;;;;;;;;;;;;;;;;
Pócsa;6;176;;;;;;;;;;;;;;;;;;;;;;;
Csesztreg;29;851;;;;;;;;;;;;;;;;;;;;;;;
Ipolyvece;28;822;;;;;;;;;;;;;;;;;;;;;;;
Fertőendréd;21;617;;;;;;;;;;;;;;;;;;;;;;;
Martfű;217;6 376;;;;;;;;;;;;;;;;;;;;;;;
Szakonyfalu;13;382;;;;;;;;;;;;;;;;;;;;;;;
Rábahídvég;33;970;;;;;;;;;;;;;;;;;;;;;;;
Dudar;60;1 764;;;;;;;;;;;;;;;;;;;;;;;
Lesenceistvánd;33;971;;;;;;;;;;;;;;;;;;;;;;;
Mihályháza;25;736;;;;;;;;;;;;;;;;;;;;;;;
Szűr;9;265;;;;;;;;;;;;;;;;;;;;;;;
Uzsa;11;324;;;;;;;;;;;;;;;;;;;;;;;
Somogyszob;52;1 532;;;;;;;;;;;;;;;;;;;;;;;
Hernád;144;4 244;;;;;;;;;;;;;;;;;;;;;;;
Ábrahámhegy;19;560;;;;;;;;;;;;;;;;;;;;;;;
Nyírlövő;24;708;;;;;;;;;;;;;;;;;;;;;;;
Sajószentpéter;418;12 334;;;;;;;;;;;;;;;;;;;;;;;
Rédics;31;915;;;;;;;;;;;;;;;;;;;;;;;
Gáborján;30;886;;;;;;;;;;;;;;;;;;;;;;;
Kengyel;120;3 544;;;;;;;;;;;;;;;;;;;;;;;
Balatonkenese;91;2 688;;;;;;;;;;;;;;;;;;;;;;;
Káld;35;1 034;;;;;;;;;;;;;;;;;;;;;;;
Felsőpakony;128;3 782;;;;;;;;;;;;;;;;;;;;;;;
Maroslele;69;2 039;;;;;;;;;;;;;;;;;;;;;;;
Pakod;29;857;;;;;;;;;;;;;;;;;;;;;;;
Szegvár;150;4 440;;;;;;;;;;;;;;;;;;;;;;;
Siófok;847;25 095;;;;;;;;;;;;;;;;;;;;;;;
Aggtelek;18;534;;;;;;;;;;;;;;;;;;;;;;;
Demjén;21;623;;;;;;;;;;;;;;;;;;;;;;;
Tésa;3;89;;;;;;;;;;;;;;;;;;;;;;;
Nádasdladány;61;1 810;;;;;;;;;;;;;;;;;;;;;;;
Apc;83;2 463;;;;;;;;;;;;;;;;;;;;;;;
Bodajk;137;4 066;;;;;;;;;;;;;;;;;;;;;;;
Verpelét;131;3 892;;;;;;;;;;;;;;;;;;;;;;;
Csém;14;416;;;;;;;;;;;;;;;;;;;;;;;
Nyírtét;35;1 040;;;;;;;;;;;;;;;;;;;;;;;
Tarjánpuszta;14;416;;;;;;;;;;;;;;;;;;;;;;;
Érd;2 320;69 014;;;;;;;;;;;;;;;;;;;;;;;
Kisdér;4;119;;;;;;;;;;;;;;;;;;;;;;;
Mályinka;16;476;;;;;;;;;;;;;;;;;;;;;;;
Réde;44;1 309;;;;;;;;;;;;;;;;;;;;;;;
Várdomb;40;1 190;;;;;;;;;;;;;;;;;;;;;;;
Balatonszőlős;22;655;;;;;;;;;;;;;;;;;;;;;;;
Balatonfüred;458;13 637;;;;;;;;;;;;;;;;;;;;;;;
Golop;19;566;;;;;;;;;;;;;;;;;;;;;;;
Vácrátót;64;1 907;;;;;;;;;;;;;;;;;;;;;;;
Sümegcsehi;21;626;;;;;;;;;;;;;;;;;;;;;;;
Litér;75;2 236;;;;;;;;;;;;;;;;;;;;;;;
Lábod;63;1 881;;;;;;;;;;;;;;;;;;;;;;;
Mátraderecske;61;1 822;;;;;;;;;;;;;;;;;;;;;;;
Rózsaszentmárton;67;2 002;;;;;;;;;;;;;;;;;;;;;;;
Szigethalom;614;18 350;;;;;;;;;;;;;;;;;;;;;;;
Vág;18;538;;;;;;;;;;;;;;;;;;;;;;;
Domoszló;66;1 973;;;;;;;;;;;;;;;;;;;;;;;
Gerde;19;568;;;;;;;;;;;;;;;;;;;;;;;
Bakonysárkány;33;987;;;;;;;;;;;;;;;;;;;;;;;
Milejszeg;11;329;;;;;;;;;;;;;;;;;;;;;;;
Máriakéménd;17;509;;;;;;;;;;;;;;;;;;;;;;;
Mezőhegyes;170;5 090;;;;;;;;;;;;;;;;;;;;;;;
Györgytarló;20;599;;;;;;;;;;;;;;;;;;;;;;;
Vilonya;23;689;;;;;;;;;;;;;;;;;;;;;;;
Pánd;67;2 008;;;;;;;;;;;;;;;;;;;;;;;
Fajsz;57;1 709;;;;;;;;;;;;;;;;;;;;;;;
Záhony;149;4 468;;;;;;;;;;;;;;;;;;;;;;;
Alsódobsza;10;300;;;;;;;;;;;;;;;;;;;;;;;
Domony;74;2 220;;;;;;;;;;;;;;;;;;;;;;;
Szemely;16;480;;;;;;;;;;;;;;;;;;;;;;;
Várkesző;6;180;;;;;;;;;;;;;;;;;;;;;;;
Újkígyós;170;5 103;;;;;;;;;;;;;;;;;;;;;;;
Lőkösháza;61;1 832;;;;;;;;;;;;;;;;;;;;;;;
Orfű;36;1 082;;;;;;;;;;;;;;;;;;;;;;;
Hét;16;481;;;;;;;;;;;;;;;;;;;;;;;
Mályi;141;4 243;;;;;;;;;;;;;;;;;;;;;;;
Sóskút;115;3 464;;;;;;;;;;;;;;;;;;;;;;;
Somogyszentpál;27;814;;;;;;;;;;;;;;;;;;;;;;;
Felsőmocsolád;13;392;;;;;;;;;;;;;;;;;;;;;;;
Békéssámson;80;2 413;;;;;;;;;;;;;;;;;;;;;;;
Lapáncsa;6;181;;;;;;;;;;;;;;;;;;;;;;;
Szeghalom;296;8 933;;;;;;;;;;;;;;;;;;;;;;;
Csehbánya;10;302;;;;;;;;;;;;;;;;;;;;;;;
Dorog;399;12 055;;;;;;;;;;;;;;;;;;;;;;;
Sárosd;109;3 294;;;;;;;;;;;;;;;;;;;;;;;
Batyk;13;393;;;;;;;;;;;;;;;;;;;;;;;
Kenyeri;27;817;;;;;;;;;;;;;;;;;;;;;;;
Sarkad;337;10 198;;;;;;;;;;;;;;;;;;;;;;;
Dévaványa;249;7 537;;;;;;;;;;;;;;;;;;;;;;;
Nova;26;787;;;;;;;;;;;;;;;;;;;;;;;
Nyírbogát;102;3 088;;;;;;;;;;;;;;;;;;;;;;;
Balatonföldvár;76;2 302;;;;;;;;;;;;;;;;;;;;;;;
Izsák;196;5 948;;;;;;;;;;;;;;;;;;;;;;;
Isztimér;30;911;;;;;;;;;;;;;;;;;;;;;;;
Ramocsaháza;50;1 519;;;;;;;;;;;;;;;;;;;;;;;
Kulcs;108;3 282;;;;;;;;;;;;;;;;;;;;;;;
Tiszasziget;59;1 793;;;;;;;;;;;;;;;;;;;;;;;
Monorierdő;157;4 772;;;;;;;;;;;;;;;;;;;;;;;
Borszörcsök;12;365;;;;;;;;;;;;;;;;;;;;;;;
Olaszfalu;35;1 065;;;;;;;;;;;;;;;;;;;;;;;
Bordány;107;3 257;;;;;;;;;;;;;;;;;;;;;;;
Kutas;48;1 462;;;;;;;;;;;;;;;;;;;;;;;
Makó;767;23 362;;;;;;;;;;;;;;;;;;;;;;;
Recsk;91;2 772;;;;;;;;;;;;;;;;;;;;;;;
Hidvégardó;19;579;;;;;;;;;;;;;;;;;;;;;;;
Kerekharaszt;33;1 006;;;;;;;;;;;;;;;;;;;;;;;
Gyál;807;24 607;;;;;;;;;;;;;;;;;;;;;;;
Eszteregnye;22;671;;;;;;;;;;;;;;;;;;;;;;;
Gellénháza;50;1 526;;;;;;;;;;;;;;;;;;;;;;;
Túrkeve;288;8 791;;;;;;;;;;;;;;;;;;;;;;;
Őrhalom;33;1 008;;;;;;;;;;;;;;;;;;;;;;;
Tinnye;59;1 803;;;;;;;;;;;;;;;;;;;;;;;
Sorkifalud;22;673;;;;;;;;;;;;;;;;;;;;;;;
Pilisszentiván;146;4 469;;;;;;;;;;;;;;;;;;;;;;;
Makád;41;1 255;;;;;;;;;;;;;;;;;;;;;;;
Mezőladány;35;1 072;;;;;;;;;;;;;;;;;;;;;;;
Pázmándfalu;35;1 072;;;;;;;;;;;;;;;;;;;;;;;
Rimóc;56;1 716;;;;;;;;;;;;;;;;;;;;;;;
Bihartorda;31;950;;;;;;;;;;;;;;;;;;;;;;;
Tabajd;33;1 012;;;;;;;;;;;;;;;;;;;;;;;
Zalakaros;83;2 546;;;;;;;;;;;;;;;;;;;;;;;
Jármi;42;1 289;;;;;;;;;;;;;;;;;;;;;;;
Vásárosnamény;295;9 055;;;;;;;;;;;;;;;;;;;;;;;
Acsa;45;1 382;;;;;;;;;;;;;;;;;;;;;;;
Ferencszállás;21;645;;;;;;;;;;;;;;;;;;;;;;;
Rigács;7;215;;;;;;;;;;;;;;;;;;;;;;;
Mihálygerge;18;553;;;;;;;;;;;;;;;;;;;;;;;
Bágyogszovát;44;1 352;;;;;;;;;;;;;;;;;;;;;;;
Zalaszentmihály;32;984;;;;;;;;;;;;;;;;;;;;;;;
Szentdomonkos;17;523;;;;;;;;;;;;;;;;;;;;;;;
Kőkút;18;554;;;;;;;;;;;;;;;;;;;;;;;
Hegyhátmaróc;5;154;;;;;;;;;;;;;;;;;;;;;;;
Mezőkeresztes;121;3 727;;;;;;;;;;;;;;;;;;;;;;;
Sárbogárd;393;12 107;;;;;;;;;;;;;;;;;;;;;;;
Bogád;37;1 140;;;;;;;;;;;;;;;;;;;;;;;
Magyargencs;16;493;;;;;;;;;;;;;;;;;;;;;;;
Remeteszőlős;33;1 017;;;;;;;;;;;;;;;;;;;;;;;
Öcsöd;106;3 268;;;;;;;;;;;;;;;;;;;;;;;
Kövegy;13;401;;;;;;;;;;;;;;;;;;;;;;;
Alsópáhok;48;1 481;;;;;;;;;;;;;;;;;;;;;;;
Csorvás;159;4 906;;;;;;;;;;;;;;;;;;;;;;;
Vigántpetend;7;216;;;;;;;;;;;;;;;;;;;;;;;
Elek;156;4 816;;;;;;;;;;;;;;;;;;;;;;;
Sényő;47;1 451;;;;;;;;;;;;;;;;;;;;;;;
Zala;8;247;;;;;;;;;;;;;;;;;;;;;;;
Balkány;202;6 238;;;;;;;;;;;;;;;;;;;;;;;
Gyöngyöshalász;85;2 625;;;;;;;;;;;;;;;;;;;;;;;
Fadd;137;4 233;;;;;;;;;;;;;;;;;;;;;;;
Bánokszentgyörgy;20;618;;;;;;;;;;;;;;;;;;;;;;;
Dunaharaszti;741;22 900;;;;;;;;;;;;;;;;;;;;;;;
Nagyveleg;21;649;;;;;;;;;;;;;;;;;;;;;;;
Pénzesgyőr;11;340;;;;;;;;;;;;;;;;;;;;;;;
Boba;27;835;;;;;;;;;;;;;;;;;;;;;;;
Mesztegnyő;42;1 299;;;;;;;;;;;;;;;;;;;;;;;
Kazincbarcika;904;27 969;;;;;;;;;;;;;;;;;;;;;;;
Nyírbátor;394;12 199;;;;;;;;;;;;;;;;;;;;;;;
Berekfürdő;42;1 301;;;;;;;;;;;;;;;;;;;;;;;
Nagyoroszi;66;2 045;;;;;;;;;;;;;;;;;;;;;;;
Ócsa;316;9 794;;;;;;;;;;;;;;;;;;;;;;;
Baracs;114;3 534;;;;;;;;;;;;;;;;;;;;;;;
Csönge;13;403;;;;;;;;;;;;;;;;;;;;;;;
Kállósemjén;120;3 720;;;;;;;;;;;;;;;;;;;;;;;
Kisigmánd;17;527;;;;;;;;;;;;;;;;;;;;;;;
Lendvadedes;1;31;;;;;;;;;;;;;;;;;;;;;;;
Magyaratád;26;806;;;;;;;;;;;;;;;;;;;;;;;
Monoszló;4;124;;;;;;;;;;;;;;;;;;;;;;;
Türje;52;1 612;;;;;;;;;;;;;;;;;;;;;;;
Zalavár;30;930;;;;;;;;;;;;;;;;;;;;;;;
Dunaújváros;1 467;45 493;;;;;;;;;;;;;;;;;;;;;;;
Jászszentlászló;81;2 512;;;;;;;;;;;;;;;;;;;;;;;
Vasad;65;2 016;;;;;;;;;;;;;;;;;;;;;;;
Szerecseny;25;776;;;;;;;;;;;;;;;;;;;;;;;
Maglód;410;12 727;;;;;;;;;;;;;;;;;;;;;;;
Dóc;24;745;;;;;;;;;;;;;;;;;;;;;;;
Nadap;21;652;;;;;;;;;;;;;;;;;;;;;;;
Homorúd;18;559;;;;;;;;;;;;;;;;;;;;;;;
Pécsvárad;129;4 007;;;;;;;;;;;;;;;;;;;;;;;
Balatonendréd;44;1 367;;;;;;;;;;;;;;;;;;;;;;;
Bakonycsernye;101;3 138;;;;;;;;;;;;;;;;;;;;;;;
Herend;112;3 483;;;;;;;;;;;;;;;;;;;;;;;
Gárdony;375;11 662;;;;;;;;;;;;;;;;;;;;;;;
Forráskút;67;2 086;;;;;;;;;;;;;;;;;;;;;;;
Jakabszállás;87;2 709;;;;;;;;;;;;;;;;;;;;;;;
Mór;451;14 045;;;;;;;;;;;;;;;;;;;;;;;
Kóka;146;4 547;;;;;;;;;;;;;;;;;;;;;;;
Medina;26;810;;;;;;;;;;;;;;;;;;;;;;;
Lakócsa;19;592;;;;;;;;;;;;;;;;;;;;;;;
Kisbajcs;29;904;;;;;;;;;;;;;;;;;;;;;;;
Aparhant;33;1 029;;;;;;;;;;;;;;;;;;;;;;;
Zalavég;11;343;;;;;;;;;;;;;;;;;;;;;;;
Halmaj;54;1 684;;;;;;;;;;;;;;;;;;;;;;;
Szentlőrinc;209;6 520;;;;;;;;;;;;;;;;;;;;;;;
Bakonygyirót;5;156;;;;;;;;;;;;;;;;;;;;;;;
Megyehíd;10;312;;;;;;;;;;;;;;;;;;;;;;;
Döbrönte;9;281;;;;;;;;;;;;;;;;;;;;;;;
Karancskeszi;58;1 811;;;;;;;;;;;;;;;;;;;;;;;
Velem;13;406;;;;;;;;;;;;;;;;;;;;;;;
Kisapostag;47;1 468;;;;;;;;;;;;;;;;;;;;;;;
Csikvánd;16;500;;;;;;;;;;;;;;;;;;;;;;;
Visonta;40;1 250;;;;;;;;;;;;;;;;;;;;;;;
Monostorapáti;37;1 157;;;;;;;;;;;;;;;;;;;;;;;
Levél;65;2 033;;;;;;;;;;;;;;;;;;;;;;;
Bőny;72;2 252;;;;;;;;;;;;;;;;;;;;;;;
Tenk;39;1 220;;;;;;;;;;;;;;;;;;;;;;;
Kiszombor;124;3 880;;;;;;;;;;;;;;;;;;;;;;;
Belsősárd;3;94;;;;;;;;;;;;;;;;;;;;;;;
Miszla;9;282;;;;;;;;;;;;;;;;;;;;;;;
Ozmánbük;6;188;;;;;;;;;;;;;;;;;;;;;;;
Simontornya;125;3 917;;;;;;;;;;;;;;;;;;;;;;;
Szentistván;75;2 353;;;;;;;;;;;;;;;;;;;;;;;
Bázakerettye;24;753;;;;;;;;;;;;;;;;;;;;;;;
Mátraballa;24;753;;;;;;;;;;;;;;;;;;;;;;;
Magyaralmás;51;1 601;;;;;;;;;;;;;;;;;;;;;;;
Szabadkígyós;84;2 637;;;;;;;;;;;;;;;;;;;;;;;
Tardona;33;1 036;;;;;;;;;;;;;;;;;;;;;;;
Jászfelsőszentgyörgy;59;1 853;;;;;;;;;;;;;;;;;;;;;;;
Egerbocs;17;534;;;;;;;;;;;;;;;;;;;;;;;
Böhönye;73;2 295;;;;;;;;;;;;;;;;;;;;;;;
Gerjen;40;1 258;;;;;;;;;;;;;;;;;;;;;;;
Etyek;139;4 373;;;;;;;;;;;;;;;;;;;;;;;
Kemecse;161;5 073;;;;;;;;;;;;;;;;;;;;;;;
Abádszalók;135;4 254;;;;;;;;;;;;;;;;;;;;;;;
Pitvaros;44;1 387;;;;;;;;;;;;;;;;;;;;;;;
Nógrádkövesd;21;662;;;;;;;;;;;;;;;;;;;;;;;
Ikrény;61;1 923;;;;;;;;;;;;;;;;;;;;;;;
Hajdúsámson;454;14 315;;;;;;;;;;;;;;;;;;;;;;;
Nagyút;22;694;;;;;;;;;;;;;;;;;;;;;;;
Tompa;149;4 702;;;;;;;;;;;;;;;;;;;;;;;
Soltvadkert;236;7 452;;;;;;;;;;;;;;;;;;;;;;;
Óhíd;17;537;;;;;;;;;;;;;;;;;;;;;;;
Annavölgy;30;948;;;;;;;;;;;;;;;;;;;;;;;
Hövej;10;316;;;;;;;;;;;;;;;;;;;;;;;
Villány;73;2 307;;;;;;;;;;;;;;;;;;;;;;;
Veresegyház;611;19 317;;;;;;;;;;;;;;;;;;;;;;;
Taliándörögd;21;665;;;;;;;;;;;;;;;;;;;;;;;
Bakonybél;37;1 172;;;;;;;;;;;;;;;;;;;;;;;
Rajka;112;3 548;;;;;;;;;;;;;;;;;;;;;;;
Karácsond;94;2 980;;;;;;;;;;;;;;;;;;;;;;;
Somogybabod;15;476;;;;;;;;;;;;;;;;;;;;;;;
Kunszentmiklós;264;8 387;;;;;;;;;;;;;;;;;;;;;;;
Vértestolna;18;572;;;;;;;;;;;;;;;;;;;;;;;
Nagyvejke;5;159;;;;;;;;;;;;;;;;;;;;;;;
Páprád;5;159;;;;;;;;;;;;;;;;;;;;;;;
Almásfüzitő;67;2 131;;;;;;;;;;;;;;;;;;;;;;;
Demecser;136;4 328;;;;;;;;;;;;;;;;;;;;;;;
Lulla;7;223;;;;;;;;;;;;;;;;;;;;;;;
Győrszemere;103;3 283;;;;;;;;;;;;;;;;;;;;;;;
Porva;16;510;;;;;;;;;;;;;;;;;;;;;;;
Zákány;35;1 116;;;;;;;;;;;;;;;;;;;;;;;
Perőcsény;10;319;;;;;;;;;;;;;;;;;;;;;;;
Tard;36;1 150;;;;;;;;;;;;;;;;;;;;;;;
Gecse;13;416;;;;;;;;;;;;;;;;;;;;;;;
Hangács;18;576;;;;;;;;;;;;;;;;;;;;;;;
Kórós;7;224;;;;;;;;;;;;;;;;;;;;;;;
Majosháza;53;1 697;;;;;;;;;;;;;;;;;;;;;;;
Etes;43;1 377;;;;;;;;;;;;;;;;;;;;;;;
Kál;111;3 555;;;;;;;;;;;;;;;;;;;;;;;
Furta;36;1 155;;;;;;;;;;;;;;;;;;;;;;;
Páka;35;1 123;;;;;;;;;;;;;;;;;;;;;;;
Köröstarcsa;78;2 505;;;;;;;;;;;;;;;;;;;;;;;
Tiszaalpár;156;5 010;;;;;;;;;;;;;;;;;;;;;;;
Alsónémedi;166;5 337;;;;;;;;;;;;;;;;;;;;;;;
Pusztazámor;38;1 222;;;;;;;;;;;;;;;;;;;;;;;
Váncsod;37;1 190;;;;;;;;;;;;;;;;;;;;;;;
Jászárokszállás;240;7 719;;;;;;;;;;;;;;;;;;;;;;;
Polgár;252;8 107;;;;;;;;;;;;;;;;;;;;;;;
Patak;28;901;;;;;;;;;;;;;;;;;;;;;;;
Sellye;85;2 736;;;;;;;;;;;;;;;;;;;;;;;
Kerekegyháza;209;6 730;;;;;;;;;;;;;;;;;;;;;;;
Lajosmizse;374;12 045;;;;;;;;;;;;;;;;;;;;;;;
Ragály;19;612;;;;;;;;;;;;;;;;;;;;;;;
Alsónána;22;709;;;;;;;;;;;;;;;;;;;;;;;
Sajóecseg;33;1 064;;;;;;;;;;;;;;;;;;;;;;;
Balatoncsicsó;8;258;;;;;;;;;;;;;;;;;;;;;;;
Várad;4;129;;;;;;;;;;;;;;;;;;;;;;;
Beled;80;2 581;;;;;;;;;;;;;;;;;;;;;;;
Ecsegfalva;38;1 227;;;;;;;;;;;;;;;;;;;;;;;
Teklafalu;10;323;;;;;;;;;;;;;;;;;;;;;;;
Nyírtelek;219;7 079;;;;;;;;;;;;;;;;;;;;;;;
Jászalsószentgyörgy;106;3 427;;;;;;;;;;;;;;;;;;;;;;;
Bogács;64;2 070;;;;;;;;;;;;;;;;;;;;;;;
Gasztony;13;421;;;;;;;;;;;;;;;;;;;;;;;
Nagyhegyes;88;2 850;;;;;;;;;;;;;;;;;;;;;;;
Velence;199;6 446;;;;;;;;;;;;;;;;;;;;;;;
Délegyháza;147;4 764;;;;;;;;;;;;;;;;;;;;;;;
Nemesnádudvar;56;1 816;;;;;;;;;;;;;;;;;;;;;;;
Sárszentmihály;97;3 148;;;;;;;;;;;;;;;;;;;;;;;
Kisbér;171;5 553;;;;;;;;;;;;;;;;;;;;;;;
Dunaszentbenedek;25;812;;;;;;;;;;;;;;;;;;;;;;;
Tépe;33;1 072;;;;;;;;;;;;;;;;;;;;;;;
Bajót;50;1 625;;;;;;;;;;;;;;;;;;;;;;;
Felsőegerszeg;4;130;;;;;;;;;;;;;;;;;;;;;;;
Gyöngyöspata;77;2 503;;;;;;;;;;;;;;;;;;;;;;;
Kiskunlacháza;279;9 070;;;;;;;;;;;;;;;;;;;;;;;
Pereszteg;45;1 464;;;;;;;;;;;;;;;;;;;;;;;
Ináncs;37;1 204;;;;;;;;;;;;;;;;;;;;;;;
Esztár;44;1 432;;;;;;;;;;;;;;;;;;;;;;;
Csanytelek;80;2 604;;;;;;;;;;;;;;;;;;;;;;;
Csengőd;66;2 149;;;;;;;;;;;;;;;;;;;;;;;
Bogyiszló;67;2 182;;;;;;;;;;;;;;;;;;;;;;;
Nyírábrány;120;3 910;;;;;;;;;;;;;;;;;;;;;;;
Kökény;21;685;;;;;;;;;;;;;;;;;;;;;;;
Kőtelek;48;1 568;;;;;;;;;;;;;;;;;;;;;;;
Kelebia;79;2 581;;;;;;;;;;;;;;;;;;;;;;;
Balástya;106;3 466;;;;;;;;;;;;;;;;;;;;;;;
Őrimagyarósd;7;229;;;;;;;;;;;;;;;;;;;;;;;
Gomba;94;3 076;;;;;;;;;;;;;;;;;;;;;;;
Lócs;4;131;;;;;;;;;;;;;;;;;;;;;;;
Atkár;56;1 837;;;;;;;;;;;;;;;;;;;;;;;
Királyszentistván;16;525;;;;;;;;;;;;;;;;;;;;;;;
Nagydobos;70;2 297;;;;;;;;;;;;;;;;;;;;;;;
Nyírcsaholy;71;2 330;;;;;;;;;;;;;;;;;;;;;;;
Kölcse;44;1 444;;;;;;;;;;;;;;;;;;;;;;;
Badacsonytördemic;28;920;;;;;;;;;;;;;;;;;;;;;;;
Penészlek;31;1 021;;;;;;;;;;;;;;;;;;;;;;;
Gyód;22;725;;;;;;;;;;;;;;;;;;;;;;;
Borsodnádasd;95;3 131;;;;;;;;;;;;;;;;;;;;;;;
Királd;24;791;;;;;;;;;;;;;;;;;;;;;;;
Dömsöd;182;6 005;;;;;;;;;;;;;;;;;;;;;;;
Bajánsenye;15;495;;;;;;;;;;;;;;;;;;;;;;;
Gelej;18;594;;;;;;;;;;;;;;;;;;;;;;;
Kisfüzes;4;132;;;;;;;;;;;;;;;;;;;;;;;
Szorosad;3;99;;;;;;;;;;;;;;;;;;;;;;;
Badacsonytomaj;66;2 180;;;;;;;;;;;;;;;;;;;;;;;
Fehérvárcsurgó;62;2 048;;;;;;;;;;;;;;;;;;;;;;;
Maklár;74;2 445;;;;;;;;;;;;;;;;;;;;;;;
Hevesvezekény;21;694;;;;;;;;;;;;;;;;;;;;;;;
Sóly;16;529;;;;;;;;;;;;;;;;;;;;;;;
Nyírtass;61;2 017;;;;;;;;;;;;;;;;;;;;;;;
Hugyag;26;860;;;;;;;;;;;;;;;;;;;;;;;
Kismányok;10;331;;;;;;;;;;;;;;;;;;;;;;;
Hobol;29;960;;;;;;;;;;;;;;;;;;;;;;;
